,Borough,Neighborhood,ID,Name
127,Queens,Queensboro Hill,4f844c6fe4b0059705cb042c,Lake Pavilion Restaurant
128,Queens,Queensboro Hill,4c56000b3e2220a163eb3ea5,88 Canteen
129,Queens,Queensboro Hill,4c57532f6418a593382a7f0e,Northport Lin's
130,Queens,Ravenswood,4ae78dbff964a52056ac21e3,Fatima's Halal Kitchen
131,Queens,Ravenswood,5cbb548166f3cd002cce8aeb,Bund On Broadway
132,Staten Island,Stapleton,4f32043a19833175d60a05a4,Chieng Garden Kitchen
133,Staten Island,New Springville,4ba16a96f964a5200ab537e3,Peking Taste IV
134,Staten Island,New Dorp,4c14210c7f7f2d7fae69e068,Crown Palace
135,Staten Island,Great Kills,4b747adcf964a52010df2de3,Lucky Fortune Chinese Restaurant
136,Staten Island,Woodrow,4d8bc294bb88f04d0f659e3a,Islander Taste I
137,Brooklyn,Ditmas Park,4be756a4910020a1db5ad514,Cam Tak Express Restaurant
138,Brooklyn,Ditmas Park,4af378def964a520f8ed21e3,Bo Bo Kitchen
139,Staten Island,Midland Beach,4cc61c46b2beb1f74faa264c,Everybody's Kitchen
140,Staten Island,Rossville,4c2bd58f57a9c9b6f591f667,Happy Fortune
141,Staten Island,Bulls Head,5165e9fee4b08d4837e87f35,Empire East
142,Staten Island,Bulls Head,4d62d78b149637046d7d0395,China House
143,Manhattan,Midtown South,54b80565498e6d4f36168cd8,Xi'an Famous Foods
144,Staten Island,Shore Acres,4bd36553caff95212bd4d4f0,Island Garden
145,Staten Island,Clifton,4cf9aa7ad8468cfadaa9e86b,Kum Fung Kitchen
146,Staten Island,Elm Park,4dc5dc957d8b14fb46366e20,Mr Rice
147,Brooklyn,New Lots,5090507fe4b095c5d7dab120,Lee Chinese Restaraunt
148,Brooklyn,Mill Basin,4e4ce4a1bd413c4cc66d03da,China Wok
149,Brooklyn,Mill Basin,514f8b4be4b01f10c950f1c7,Hunan West
150,Brooklyn,Mill Basin,4d483fd056eab60cab1e4086,Mr. Kam
151,Queens,Jamaica Hills,4ce49482e571a09332bc8587,Sagar Chinese
152,Queens,Jamaica Hills,57b902d4498ea31e223ebd15,Dhanshiri Chinese
153,Queens,Pomonok,4c561a2d6201e21e10657d6c,New china garden
154,Queens,Astoria Heights,4c892761bbec6dcbdedbd958,Chopsticks
155,Queens,Astoria Heights,4f3234e019836c91c7c0a983,Chop Sticks Chinese
156,Bronx,Claremont Village,4ca3bffa1ee76dcb1ee6fbdd,Empire King Chinese Food
157,Manhattan,Sutton Place,3fd66200f964a520adea1ee3,Mr. Chow
158,Queens,Sunnyside Gardens,4bb91c86b35776b0e5a1c901,Golden Wok
159,Brooklyn,Weeksville,4daa263f0cb6a89c62682125,Hardee
160,Staten Island,Manor Heights,4be75c8f2468c928fc720243,Tack's Chinese Take Out
161,Staten Island,Willowbrook,5756be91cd1086df18e54a5d,Peking Kitchen
162,Staten Island,Willowbrook,4bff2b03daf9c9b6dce8f9ef,Peking Kitchen
163,Brooklyn,Homecrest,4b46743ff964a520892126e3,"Golden ""Z"" Restaurant"
164,Brooklyn,Homecrest,4d28b924ebacb1f72efbf34f,Wing Hing Seafood Restaurant
165,Brooklyn,Homecrest,4c54639f72cf0f47cd247bd4,Winley
166,Brooklyn,Homecrest,4d064e228620224b0490b240,Kowloon Island
167,Staten Island,Prince's Bay,4bb7d282b35776b0b83dc801,Island Taste
168,Bronx,Allerton,4c7dbf7f10916dcba78e2a96,Chef King
169,Bronx,Kingsbridge Heights,4d965fd061a3a1cde4989a42,Lucky Star Chinese Restaurant
170,Bronx,Kingsbridge Heights,4c7851e03badb1f7137c4b54,Yu Hua Restaurant
171,Brooklyn,Erasmus,4e10c87122713f7d7bcb9d1d,Kam Man Chinese Food
